id	estado_id	cidade_id	bairro_id	IFNULL(cep, '')	IFNULL(logradouro, '')	IFNULL(complemento, '')	IFNULL(numero, '')	IFNULL(latitude, '')	IFNULL(longitude, '')
366	1	1	2	78043-375	Avenida Miguel Sutil	de 6061 a 8343 - lado ímpar	8061	-15.5860761	-56.11434389999999
367	1	19	142	78573-000	Avenida São Paulo	Loteamento Jardim Itália I	S/N	-12.735865401269143	-56.358956372656216
368	1	19	175	78573-000	Av. Romoaldo Alievi	Bairro: Jd. Itália - Central de vendas. Em frente à lotérica.	1422	-12.7415865	-56.5145011
369	1	1	34	78030-500	Avenida Ipiranga	de 2006 ao fim - lado par	1907	-15.608585950901881	-56.11553763680115
370	1	1	2	78043-305	Avenida Miguel Sutil	de 8345 a 10747 - lado ímpar	8800	-15.5860761	-56.11434389999999
371	1	1	160	78048-250	Avenida Doutor Hélio Ribeiro		sn	-15.569638531375746	-56.07931062593383
372	1	1	44	78050-500	Travessa L		sn	-15.573907022582919	-56.06081968712461
373	1	1	37	78048-150	Rodovia Arquiteto Hélder Cândia	do km 2,000 ao km 4,700	sn	-15.552531616897594	-56.113096278417956
374	1	1	37	78048-150					
375	1	1	37	78130-740					
376	1	1	75	78000-000	Rodovia Palmiro Paes de Barros		sn	-15.652595623452532	-56.055518556716926
377	1	2	85	78000-000	Estrada P		sn	-15.680642256271664	-56.108980346801765
378	1	1	44	78000-000	Rua do DNER	(Lot Prq Jatobá)	150	-15.580865537104602	-56.05543272602845
379	1	1	183	78118-865	Rua Tricolor	(Lot Jd B Rio)	sn	-15.657172187694615	-56.08520524609376
380	1	2	183	78118-865	Rua Tricolor	(Lot Jd B Rio)	sn	0	0
381	1	1	172	78099-250	Avenida das Travessas		sn	-15.638162762591588	-55.94935672390748
382	1	1	16		Av. São Sebastião, 3161, 10º andar, Ed. Xingu Business Center, B. Quilombo, Cuiabá-MT	10° andar	3161		
383	1	1	16	78000-000	Avenida São Sebastião, Edifício Xingu Business Center	10° andar	3161		
384	1	1	16	78045-000	Avenida São Sebastião	10° andar	3161		
385	1	23	185	78450-000	Avenida Mato Grosso		s/n	-13.815202119709413	-56.10138416290291
386	1	23	184	78450-000	Avenida Perimetral Jose Aparecido Ribeiro	Loteamento José Aparecido Ribeiro	126	0	0
387	1	3	147	78000-000	Avenida Poguba		s/n	-16.500975730681173	-54.6208693276672
388	1	24	187	78455-000	Avenida Cerrado		2455	-13.068922824398275	-55.94671743023682
389	1	1	33	78045-370	Avenida Dom Bosco		2247	-15.59489262437618	-56.10962944138337
390	1	1	56	78090-320	Avenida F		s/n	-15.582905635755193	-56.075479388237
391	1	1	2	78055-731	Rua Marechal Floriano Peixoto		1574		
392	1	4	101	78195-000	Rua dos Bororos		s/n	-15.443576651353553	-55.75528280842591
393	1	1	88	78075-685	Rua Vereador Juca do Guaraná		s/n	-15.607236400617612	-56.029576231124885
394	1	1	189	78090-025	Avenida Aycar Saddi	(Lot Jd Presidente I)	sn	-15.643989752377617	-56.017597485664375
395	1	1	131	78000-000	Rua Fernando Bazen, Pascoal Ramos, Cuiabá-MT		s/n	-15.616687220444893	-55.97989099133297
396	1	1	28	78043-230	Avenida Senador Metello		5	-15.599503099717223	-56.11733811009217
397	1	1	3	78060-634	Rua Buenos Aires		258	-15.607304701856307	-56.07626795768738
398	1	1	64	78070-270	Rua Filipinas		S/n	-15.621962032946163	-56.07139186966712
399	1	3	137	78700-000	Avenida dos Bandeirantes	Esquina com Anel Viário Conrado Salles Brito	S/n	-16.421266196144938	-54.611331392410285
400	1	1	23	78030-000	Avenida Miguel Sutil	Sala Comercial 1001 10 Andar Edif Jardim Cuiaba Office Flat Loteamento Jardim Primavera	2625		
401	1	13	168	78840-000	avenida santa maria,  residencial Buritis	saida para Chapada, à 3 minutos de campo verde, fica do lado esquerdo	1099	0	0
402	1	24	187	78455-000	Avenida Brasil, 340s	Alvorada	340		
403	1	24	187	78455-000	Avenida Brasil, 340s	Alvorada	340		
404	1	24	191	78455-000	Avenida Brasil, 340s	Alvorada	340		
405	1	24	191	78455-000	Avenida Brasil 340s	Alvorada	340		
406	1	24	187	78455-000	Avenida Brasil, 340s	Alvorada	340	0	0
407	1	24	192	78455-000	Rua Corbelia		0	-13.07564813968535	-55.91287851333618
408	1	1	193	78088-505	Avenida Archimedes Pereira Lima	lado ímpar	214	-15.621507402151574	-56.04296581852723
409	1	1	75	78070-720	Av. Z-1	lado ímpar	314	-15.632663647124883	-56.07322113621522
410	1	1	195	78104-000	Estrada Parque	Distrito da guia	0	-15.482756707240604	-56.17073552716063
411	1	1	158	78005-100	Avenida Marechal Deodoro	de 949/950 a 1898/1899	1290	0	0
412	1	1	37	78048-150	Rodovia Arquiteto Hélder Cândia	do km 2,000 ao km 4,700	Não inform	-15.5345719817383	-56.11237049102783
413	1	1	61	78060-040	Avenida Parque do Barbádo	lado par	79	-15.603249009409994	-56.06892960179139
414	1	1	37	78048-180	Rua Clarindo Epifânio da Silva	Ribeirão do Lipa	1165	-15.55825740848873	-56.098396350029
415	1	2	92	78115-115	Rua Benedita Bernardina Curvo	(Lot Pte Nova)  Fundos da Havan	271	-15.632490586608114	-56.12212853539277
416	1	1	44	78053-160	Rua S/D, 160 (Região do Morada do Ouro )	(St Centro-Sul)	160	-15.579491033867559	-56.05438666451264
417	1	25	196	78600-056	Rua Vereador Manoel Brito	lado par	706	-15.89306148490604	-52.2633578072815
418	1	2	120	78156-406	Avenida Projetada Sesmaria Chapéu do Sol		Sn	-15.587076523539872	-56.18365304577635
419	1	1	163	78020-500	Rua Tenente Coronel Thogo da Silva Pereira		116	-15.600178787329329	-56.10656099427035
420	13	26	197	88304-400	Rua José Pereira Liberato	de 1351/1352 a 1987/1988	1390	-26.90393096896461	-48.68287699330144
421	1	1	18	78040-290	Rua Polônia, esquina com a rua Waldo Gustavo Olavarria		S/n	-15.582996759682585	-56.11899839747241
422	15	11	200	01131-010	Rua Sérgio Tomás		500	0	0
423	1	1	20	78040-650	R MONTES CLAROS		83		
424	1	1	75	78040-650	Rua Montes Claros		sn	-15.726913354548486	-56.09591262448121
425	1	3	202	78721-877	Rua F4	QD27 LTs 01 a 03	0		
426	1	1	171	78098-900	Rua Z	s/n	325	-15.673618046720362	-55.959892440917955
427	1	27	206	78870-000	Rodovia MT 130		KM 5	-14.458254001577183	-54.04920475590516
428	1	1	158	78005-100	Avenida Marechal Deodoro	Atras da IFMT, em Frente Panificadora Marechal	1290		
429	1	1	26	78048-040	Rua Varsóvia	(Lot Rodoviária Parque)	101		
