id	estado_id	cidade_id	bairro_id	IFNULL(cep, '')	IFNULL(logradouro, '')	IFNULL(complemento, '')	IFNULL(numero, '')	IFNULL(latitude, '')	IFNULL(longitude, '')
175	1	1	35		Avenida Senador Filinto Muller		s/n	-15.583790422121051	-56.102322936058044
176	1	1	63	78070-070	Rua Doze		740	-15.619359638184802	-56.0726061067459
177	1	1	79		Rua Atenas esquina com a Rua Estocolmo		s/n	-15.576380502832346	-56.09121322631836
178	1	1	59		Avenida Beira Rio - Próximo a Unic e Unirondon		Não inform	-15.626219202150107	-56.084089279174805
179	1	1	88		Não informado		Não inform	-15.615101354447171	-56.018879413604736
180	1	1	3	78060-601	Avenida Brasília		Não inform	-15.61139249572604	-56.07302100597382
181	1	1	2		Rua José Haddad		Não inform	-15.588874898318826	-56.116286516189575
182	1	1	2	78043-298	Rua José Haddad		5	-15.589626663368335	-56.11579133491823
183	1	1	89		Rua da Fé		Não inform	-15.602841058478425	-56.126258969306946
184	1	1	16	78045-175	Avenida Presidente Joaquim Augusto da Costa Marques		445	-15.591257958626654	-56.100244421075075
185	1	1	44	78058-120	Rua 30 esquina com rua 31		114	-15.573393686506424	-56.06028735637665
186	1	1	26	78048-238	Rua Doutor Santo Scaravelli	(Jd Bom Clima)	475	-15.564699485520812	-56.09044438975754
187	1	2	154	78110-354	Rua Governador Pedro Pedrossian	(Lot Centro)	989	-15.6533219	-56.1276356
188	1	2	90		Rua Antônio João (Jardim Aeroporto - Várzea Grande/MT)		Não inform	-15.657688944176712	-56.12094283103943
189	1	1	9		Rua T, Setor B da Quadra 27		s/n	-15.587479780184608	-56.075334548950195
190	1	1	65		Rua Maranhão		S/N	-15.612797115396605	-56.07890725135803
191	1	1	75		Rua Alexandre de Barros		s/n	-15.62512397628127	-56.05570077896118
192	1	1	20		Rua Montes Claros		182	-15.577300298133297	-56.11520290374756
193	1	1	75		Rua Antonio Dorileo (Coxipó - Cuiabá/MT)		Não inform	-15.628533622459928	-56.05871558189392
194	1	1	2	78043-268	Rua Marechal Antônio Aníbal da Motta		299	-15.590330575379344	-56.115070647360234
195	1	1	58		Avenida B ( Dr. Hélio Ribeiro)		Não inform	-15.571337057689961	-56.07843518257141
196	1	1	38		Não informado		Não inform	-15.576917911822708	-56.09947979450226
197	1	1	54	78068-685	Avenida Archimedes Pereira Lima		688	-15.600655533683186	-56.07089464383851
198	1	1	1	78080-145	Rua dos Buritis		155	-15.6231583912947	-56.04802875277861
199	1	1	68		Não informado		Não inform	-15.562495227771624	-56.08846127986908
200	1	1	91		Av. Kaytto Guilherme do Nascimento Pinto, Quadra 2.		8	-15.56384658991388	-56.082099080085754
201	1	2	92		Rua Aníbal Molina Ribeiro (Ponte Nova - Várzea Grande/MT)		Não inform	-15.6264487	-56.1163176
202	1	1	80		Av. Dante Martins de Oliveira (Carumbé - Cuiabá/MT)		Não inform	-15.584958209292033	-56.0512375831604
203	1	1	80	78050-700	Avenida Governador Dante Martins de Oliveira		3551	-15.587113676806052	-56.0561765687561
204	1	1	73		Rua do Flamengo		145	-15.605532909805886	-56.0431694984436
205	1	1	79		Rua Estocolmo, S/Nº - Senhor dos Passos - Cuiabá - MT		s/n	-15.574737262779667	-56.09077334403992
206	1	1	3		Arquimedes Pereira Lima		Não inform	-15.599632490894587	-56.07289910316467
207	1	1	56		Av. Nigéria, Jardim Aclimação		85	-15.580266351568483	-56.073360443115234
208	1	1	6		Não informado		Não inform	-15.595456956669697	-56.10952125352014
209	1	1	2	78043-971	Avenida Miguel Sutil		9803	-15.587282732815956	-56.11601429251251
210	1	1	18		Avenida Miguel Sutil		Não inform	-15.586312007349163	-56.11524850130081
211	1	1	3		Avenida Brasília, Esquina com a Rua La Paz		Não inform	-15.609800532604714	-56.070844531059265
212	1	2	87		Alameda Júlio Muller (Alameda - Várzea Grande/MT)		Não inform	-15.623622910263329	-56.097775101657135
213	1	2	86		Rua Maranhão, s/n° (Nova Várzea Grande - Várzea Grande/MT)		Não inform	-15.65824163604245	-56.1422073841095
214	1	1	5		Avenida Dr. Euricles Mota		565	-15.602892725822928	-56.07790946960449
215	1	1	76		Av. Itaparica		s/n°	-15.637501754109678	-56.05153799057007
216	1	1	75		Rua Santo Antônio		Não inform	-15.623284810235697	-56.05774998664856
217	1	1	11		Rua Desembargador José de Mesquita		Não inform	-15.58895995239638	-56.093074679374695
218	1	1	44	78053-744	Rua Vinte	(St Morada do Ouro II)	5132	-15.574317736926321	-56.0607951069153
219	1	1	8		Av Fernando Correa		2206	-0	-0
220	1	1	8		Av Fernando Correa		2206	-0	-0
221	1	1	37		Avenida Mario Palma		Não inform	-15.5575907113202	-56.10210835933685
222	1	1	73		Avenida Santa Cruz		Não inform	-15.601524575139338	-56.043405532836914
223	1	1	73		Av. Santa cruz , Bairro Santa Cruz 2, s/n ? Cuiabá MT		Não inform	-15.601492536185726	-56.043115854263306
224	1	2	100		Avenida A, Jardim Mundo Novo		892	-15.651852013633157	-56.18107795715332
225	1	1	37		Rua das Bromélias		Não inform	-15.550110350111277	-56.09575152397156
226	1	1	16		Avenida São Sebastião		s/n	-15.588682272490958	-56.100783348083496
227	1	1	12		Avenida Belvedere		s/n	-15.60018017264829	-56.02877140045166
228	1	2	120		Mirante do Pary		Não inform	-15.59534023102172	-56.162877953611314
229	1	1	37		Avenida dos florais		Não inform	-15.539078821404066	-56.08662128448486
230	1	1	93		Avenida Camboriú		s/n	-15.648050171040161	-56.05896234512329
231	1	1	37		Avenida dos florais		Não inform	-15.53498545737336	-56.092329025268555
232	1	1	60		Avenida B		Não inform	-15.594496611638657	-56.044864654541016
233	1	1	88		Avenida das Torres		Não inform	-15.621838263544792	-56.00636959075928
234	1	1	60		Avenida B		Não inform	-15.595453270031912	-56.05168766729821
235	1	1	39		Avenida C		Não inform	-15.559237040457976	-56.12263259796782
236	1	1	88		Rua Projetada A		s/n	-15.610792509687982	-56.016143560409546
237	1	2	95		Avenida Mario Andreazza		s/n	-15.629360194804173	-56.18337392807007
238	1	1	40		Avenida Dr. Hélio Ribeiro		487	-15.571750396472703	-56.07825815677643
239	1	1	28		Avenida das Flores, esquina com rua dos lírios e rua dos crisântemos, quadra nº 53, Jardim Cuiabá		53	-15.594608464751847	-56.120304465293884
240	1	1	28		Avenida Miguel Sutil, esquina com a Rua Nestelaus Devuisky		Não inform	-15.596183151685226	-56.1218386888504
241	1	1	18	78040-365	Avenida Miguel Sutil	lado par	8388	-15.58619053551795	-56.115022175115975
242	1	1	7		Avenida Historiador Rubens de Mendonça / Alca de acesso à Miguel Sutil.		s/n	-15.587754234293255	-56.08328998088837
243	1	1	58		Avenida Dr. Hélio Ribeiro		525	-15.570866129835306	-56.07853174209595
244	1	1	83	78095-100	Avenida  J		Não inform	-15.65923306982927	-56.05530305683898
245	1	1	83		Rua J		s/n	-15.65932507080273	-56.05692923069
246	1	1	22		Rua Inexistente		Não inform	-15.588978240025828	-56.08275890350342
247	1	1	8		Não informado		Não inform	-15.589350269740473	-56.0866641998291
248	1	1	23		Travessa João Geraldo Xavier		174	-15.610244856266572	-56.12697243690491
249	1	1	68		Av. S/D (avenida de acesso ao Detran),Jd. Paiáguas		691	-15.560608990436902	-56.07599973678589
250	1	2	97		Avenida Chapéu do Sol		Não inform	-15.594124591248622	-56.151732444959634
251	1	2	97		Avenida Chapéu do Sol		Não inform	-15.593442552115954	-56.15132904053553
252	1	1	88		Av. Professora Edna Maria Albuquerque Affi, 1100		1100	-15.615586997938125	-56.02229118347168
253	1	1	30		Rua A, 300 (Jardim Ubirajara - Cuiabá/MT)		300	-15.556888142806583	-56.08627796173096
254	1	1	83	78095-175	Estrada A		S/N	-15.6656486	-56.0510585
255	1	1	65		Rua 8 de Abril		300	-15.613650040105854	-56.077356934547424
256	1	4	101		Rua Vinte e seis		s/n	-15.471724298726834	-55.75730409828782
257	1	1	54		Rua 43, Vila Boa Esperança, Quadra 88, lote 01 a 20		1100	-15.618171971759418	-56.056865930459026
258	13	5	102		Rua João Francisco dos Santos, esquina com Rua Romeu Pereira.		nº 99	-26.970191372815965	-48.63254249095917
259	1	6	103		Avenida Magda de Cassia Pissinatt		Não inform	-11.850593160527689	-55.53783595561981
260	1	2	95		Avenida Mario Andreazza		s/n	-15.629442851855137	-56.18412494659424
261	1	2	95		Avenida Mario Andreazza		S/N	-15.629442851855137	-56.18412494659424
262	1	2	95		Não informado		Não inform	-0	-0
263	1	2	104		Rua da Atlântica, 237 (Glória - Várzea Grande/MT)		237	-15.634435926555373	-56.14536702632904
264	1	2	87		Rua Anibal Molina Ribeiro		Não inform	-15.619853149279434	-56.108277440071106
265	1	1	76		Rua Antonio Dorileo		250	-15.628895248271009	-56.05955243110657
266	1	6	103		Rua Santa Terezinha		Não inform	-11.883740171612455	-55.4785430431366
267	1	6	103		Rua Santa Terezinha		Não inform	-11.883740171612455	-55.4785430431366
268	1	4	101		Não informado		Não inform	-0	-0
269	1	6	103		Rua Santa Terezinha		Não inform	-11.883740171612455	-55.4785430431366
270	1	1	83	78095-175	Estrada A	(Próximo a entrada do Parque Cuiabá)	Não inform	0	0
271	1	1	88		Não informado		Não inform	-15.604520240514239	-56.00804328918457
272	1	1	105		Av. Dr. Meirelles, ao lado da Academia de Policia Civil com o Balneário Sesc.		Não inform	-15.608777551211977	-56.01109027862549
273	1	1	35		Avenida São Sebastião		3125	-15.588776537564737	-56.100907802580764
274	1	4	101		Rodovia Emanuel Pinheiro		KM 57	-15.441374131365784	-55.76668739318848
275	1	7	106		Não informado		Não inform	-0	-0
276	1	7	106		Não informado		Não inform	-0	-0
277	1	1	8		Não informado		Não inform	-0	-0
278	1	1	60		Avenida B		s/n	-15.595158594026778	-56.05245985707052
279	13	5	108		Avenida Atlântica		Não inform	-27.00571127195208	-48.61238798943458
280	13	5	108		Avenida Atlantica		4700	-27.004863442031816	-48.614907534069005
281	13	5	107		Rua 1141 esquina com Avenida Brasil.		Não inform	-26.980135098791337	-48.636584018179065
282	13	5	107		Avenida dos Estados		4750	-26.980661310188882	-48.640253030976965
283	1	1	28		Avenida General Ramiro de Noronha, Jardim Cuiabá , Cuiabá, MT		965	-15.59200031401973	-56.115704725737146
284	13	5	108		Rua 3700		Não inform	-27.005452561086518	-48.62161688227161
285	14	8	109		RUA 1124, QUADRA 219		273	-16.706950785219696	-49.26231953786328
286	13	5	107		RUA 3700		415	-27.005225872887504	-48.62134288097775
287	13	9	110		Rua 131		Não inform	-27.09504090752174	-48.616527396158745
288	13	9	110		Não informado		Não inform	-27.095719084565037	-48.6162530414735
289	13	5	107		Rua 3700		425	-27.005496392106185	-48.62163981059143
290	13	9	113		Rua 324		302	-27.14056041592428	-48.5985784738607
291	15	11	115		Não informado		Não inform	-23.549017817882884	-46.69189727414471
292	16	12	116		Rua José Borba Vasconcelos, 440		440	-3.7461328983744435	-38.471919419142466
293	1	1	6	78032-080	Avenida Oito de Abril		179	-15.59742203702824	-56.109634773263544
294	1	1	73	78077-000	Avenida Santa Cruz	(Lot S Cruz II) - lado par	230	-15.600128504620768	-56.042665243148804
295	1	2	120		Avenida Chapéu do Sol, Várzea Grande, MT		Não inform	-15.593247132339712	-56.18232303634903
296	1	2	120		Avenida Universitária		s/n	-15.595398996422597	-56.18271094961432
297	1	2	120	78144-490	Rua Camélias	(Lot Chapéu do Sol)	Não inform	-15.600052292362438	-56.1834486055603
298	1	13	168	78840-000	Avenida Santa Maria	Residencial Buritis	s/n	0	0
299	13	9	110		rua 129A		154	-27.095244197612015	-48.61557289656275
300	1	15	122		BR 364		Não inform	-13.630953462404708	-57.900666686291515
